startDateTime,endDateTime,groundwaterElev,groundwaterElevExpUncert,gWatElevFinalQF
"2018-11-01T13:30:00Z","2018-11-01T13:35:00Z",325.09,0.38,
"2018-11-01T13:35:00Z","2018-11-01T13:40:00Z",325.09,0.38,
"2018-11-01T13:40:00Z","2018-11-01T13:45:00Z",325.09,0.38,
"2018-11-01T13:45:00Z","2018-11-01T13:50:00Z",325.09,0.38,
"2018-11-01T13:50:00Z","2018-11-01T13:55:00Z",325.09,0.38,
"2018-11-01T13:55:00Z","2018-11-01T14:00:00Z",325.09,0.38,
"2018-11-01T14:00:00Z","2018-11-01T14:05:00Z",325.09,0.38,
"2018-11-01T14:05:00Z","2018-11-01T14:10:00Z",325.09,0.38,
"2018-11-01T14:15:00Z","2018-11-01T14:20:00Z",325.09,0.38,
"2018-11-01T14:20:00Z","2018-11-01T14:25:00Z",325.09,0.38,
"2018-11-01T14:25:00Z","2018-11-01T14:30:00Z",325.09,0.38,
"2018-11-01T14:30:00Z","2018-11-01T14:35:00Z",325.09,0.38,
"2018-11-01T14:35:00Z","2018-11-01T14:40:00Z",325.09,0.38,
"2018-11-01T14:40:00Z","2018-11-01T14:45:00Z",325.09,0.38,
"2018-11-01T14:45:00Z","2018-11-01T14:50:00Z",325.09,0.38,
"2018-11-01T14:50:00Z","2018-11-01T14:55:00Z",325.09,0.38,
"2018-11-01T14:55:00Z","2018-11-01T15:00:00Z",325.10,0.38,
"2018-11-01T15:00:00Z","2018-11-01T15:05:00Z",325.10,0.38,
"2018-11-01T15:05:00Z","2018-11-01T15:10:00Z",325.10,0.38,
"2018-11-01T19:55:00Z","2018-11-01T20:00:00Z",325.11,0.38,
"2018-11-01T20:00:00Z","2018-11-01T20:05:00Z",325.11,0.38,
"2018-11-01T20:05:00Z","2018-11-01T20:10:00Z",325.11,0.38,
"2018-11-01T20:10:00Z","2018-11-01T20:15:00Z",325.11,0.38,
"2018-11-01T20:15:00Z","2018-11-01T20:20:00Z",325.11,0.38,
"2018-11-01T20:25:00Z","2018-11-01T20:30:00Z",325.11,0.38,
"2018-11-01T20:30:00Z","2018-11-01T20:35:00Z",325.11,0.38,
"2018-11-01T20:35:00Z","2018-11-01T20:40:00Z",325.11,0.38,
"2018-11-01T20:40:00Z","2018-11-01T20:45:00Z",325.11,0.38,
"2018-11-01T20:45:00Z","2018-11-01T20:50:00Z",325.11,0.38,
"2018-11-01T20:50:00Z","2018-11-01T20:55:00Z",325.11,0.38,
"2018-11-01T20:55:00Z","2018-11-01T21:00:00Z",325.11,0.38,
"2018-11-01T21:00:00Z","2018-11-01T21:05:00Z",325.11,0.38,
"2018-11-01T21:05:00Z","2018-11-01T21:10:00Z",325.11,0.38,
"2018-11-01T21:10:00Z","2018-11-01T21:15:00Z",325.11,0.38,
"2018-11-01T21:15:00Z","2018-11-01T21:20:00Z",325.11,0.38,
"2018-11-01T21:20:00Z","2018-11-01T21:25:00Z",325.11,0.38,
"2018-11-01T21:25:00Z","2018-11-01T21:30:00Z",325.11,0.38,
"2018-11-01T21:30:00Z","2018-11-01T21:35:00Z",325.11,0.38,
"2018-11-01T21:35:00Z","2018-11-01T21:40:00Z",325.11,0.38,
"2018-11-01T21:40:00Z","2018-11-01T21:45:00Z",325.11,0.38,
"2018-11-01T21:45:00Z","2018-11-01T21:50:00Z",325.11,0.38,
"2018-11-01T22:30:00Z","2018-11-01T22:35:00Z",325.11,0.38,
"2018-11-02T13:30:00Z","2018-11-02T13:35:00Z",325.12,0.38,
"2018-11-02T13:35:00Z","2018-11-02T13:40:00Z",325.12,0.38,
"2018-11-02T13:40:00Z","2018-11-02T13:45:00Z",325.12,0.38,
"2018-11-02T13:45:00Z","2018-11-02T13:50:00Z",325.12,0.38,
"2018-11-02T13:50:00Z","2018-11-02T13:55:00Z",325.12,0.38,
"2018-11-02T13:55:00Z","2018-11-02T14:00:00Z",325.12,0.38,
"2018-11-02T14:00:00Z","2018-11-02T14:05:00Z",325.12,0.38,
"2018-11-02T14:05:00Z","2018-11-02T14:10:00Z",325.12,0.38,
"2018-11-02T14:10:00Z","2018-11-02T14:15:00Z",325.12,0.38,
"2018-11-02T14:15:00Z","2018-11-02T14:20:00Z",325.12,0.38,
"2018-11-02T14:20:00Z","2018-11-02T14:25:00Z",325.12,0.38,
"2018-11-02T14:25:00Z","2018-11-02T14:30:00Z",325.12,0.38,
"2018-11-02T14:30:00Z","2018-11-02T14:35:00Z",325.12,0.38,
"2018-11-02T14:35:00Z","2018-11-02T14:40:00Z",325.13,0.38,
"2018-11-02T14:40:00Z","2018-11-02T14:45:00Z",325.13,0.38,
"2018-11-02T14:45:00Z","2018-11-02T14:50:00Z",325.13,0.38,
"2018-11-02T14:50:00Z","2018-11-02T14:55:00Z",325.13,0.38,
"2018-11-02T19:30:00Z","2018-11-02T19:35:00Z",325.13,0.38,
"2018-11-02T19:35:00Z","2018-11-02T19:40:00Z",325.13,0.38,
"2018-11-02T19:40:00Z","2018-11-02T19:45:00Z",325.13,0.38,
"2018-11-02T19:45:00Z","2018-11-02T19:50:00Z",325.14,0.38,
"2018-11-02T19:50:00Z","2018-11-02T19:55:00Z",325.14,0.38,
"2018-11-02T21:05:00Z","2018-11-02T21:10:00Z",325.14,0.38,
"2018-11-02T21:10:00Z","2018-11-02T21:15:00Z",325.14,0.38,
"2018-11-02T21:15:00Z","2018-11-02T21:20:00Z",325.14,0.38,
"2018-11-02T21:20:00Z","2018-11-02T21:25:00Z",325.14,0.38,
"2018-11-02T21:25:00Z","2018-11-02T21:30:00Z",325.14,0.38,
"2018-11-02T21:30:00Z","2018-11-02T21:35:00Z",325.14,0.38,
"2018-11-02T21:35:00Z","2018-11-02T21:40:00Z",325.14,0.38,
"2018-11-02T21:40:00Z","2018-11-02T21:45:00Z",325.14,0.38,
"2018-11-02T21:45:00Z","2018-11-02T21:50:00Z",325.14,0.38,
"2018-11-02T21:50:00Z","2018-11-02T21:55:00Z",325.14,0.38,
"2018-11-02T21:55:00Z","2018-11-02T22:00:00Z",325.14,0.38,
"2018-11-02T22:00:00Z","2018-11-02T22:05:00Z",325.14,0.38,
"2018-11-02T22:05:00Z","2018-11-02T22:10:00Z",325.14,0.38,
"2018-11-02T22:10:00Z","2018-11-02T22:15:00Z",325.14,0.38,
"2018-11-02T22:15:00Z","2018-11-02T22:20:00Z",325.14,0.38,
"2018-11-02T22:30:00Z","2018-11-02T22:35:00Z",325.14,0.38,
"2018-11-03T13:30:00Z","2018-11-03T13:35:00Z",325.16,0.38,
"2018-11-03T13:50:00Z","2018-11-03T13:55:00Z",325.16,0.38,
"2018-11-03T13:55:00Z","2018-11-03T14:00:00Z",325.16,0.38,
"2018-11-03T14:00:00Z","2018-11-03T14:05:00Z",325.16,0.38,
"2018-11-03T14:05:00Z","2018-11-03T14:10:00Z",325.16,0.38,
"2018-11-03T14:10:00Z","2018-11-03T14:15:00Z",325.16,0.38,
"2018-11-03T14:15:00Z","2018-11-03T14:20:00Z",325.16,0.38,
"2018-11-03T14:20:00Z","2018-11-03T14:25:00Z",325.16,0.38,
"2018-11-03T14:25:00Z","2018-11-03T14:30:00Z",325.16,0.38,
"2018-11-03T14:30:00Z","2018-11-03T14:35:00Z",325.16,0.38,
"2018-11-03T14:35:00Z","2018-11-03T14:40:00Z",325.16,0.38,
"2018-11-03T14:40:00Z","2018-11-03T14:45:00Z",325.16,0.38,
"2018-11-03T14:45:00Z","2018-11-03T14:50:00Z",325.16,0.38,
"2018-11-03T14:50:00Z","2018-11-03T14:55:00Z",325.16,0.38,
"2018-11-03T14:55:00Z","2018-11-03T15:00:00Z",325.16,0.38,
"2018-11-03T15:00:00Z","2018-11-03T15:05:00Z",325.16,0.38,
"2018-11-03T15:05:00Z","2018-11-03T15:10:00Z",325.16,0.38,
"2018-11-03T15:10:00Z","2018-11-03T15:15:00Z",325.16,0.38,
"2018-11-03T15:15:00Z","2018-11-03T15:20:00Z",325.15,0.38,
"2018-11-03T15:20:00Z","2018-11-03T15:25:00Z",325.14,0.38,
"2018-11-03T15:25:00Z","2018-11-03T15:30:00Z",325.14,0.38,
"2018-11-03T15:30:00Z","2018-11-03T15:35:00Z",325.15,0.38,
"2018-11-03T15:35:00Z","2018-11-03T15:40:00Z",325.14,0.38,
"2018-11-03T15:40:00Z","2018-11-03T15:45:00Z",325.15,0.38,
"2018-11-03T15:45:00Z","2018-11-03T15:50:00Z",325.15,0.38,
"2018-11-03T15:50:00Z","2018-11-03T15:55:00Z",325.15,0.38,
"2018-11-03T15:55:00Z","2018-11-03T16:00:00Z",325.15,0.38,
"2018-11-03T16:00:00Z","2018-11-03T16:05:00Z",325.15,0.38,
"2018-11-03T16:05:00Z","2018-11-03T16:10:00Z",325.15,0.38,
"2018-11-03T16:10:00Z","2018-11-03T16:15:00Z",325.15,0.38,
"2018-11-03T16:15:00Z","2018-11-03T16:20:00Z",325.15,0.38,
"2018-11-03T16:20:00Z","2018-11-03T16:25:00Z",325.15,0.38,
"2018-11-03T16:25:00Z","2018-11-03T16:30:00Z",325.15,0.38,
"2018-11-03T16:30:00Z","2018-11-03T16:35:00Z",325.15,0.38,
"2018-11-03T16:35:00Z","2018-11-03T16:40:00Z",325.15,0.38,
"2018-11-03T16:45:00Z","2018-11-03T16:50:00Z",325.15,0.38,
"2018-11-03T16:50:00Z","2018-11-03T16:55:00Z",325.15,0.38,
"2018-11-03T16:55:00Z","2018-11-03T17:00:00Z",325.16,0.38,
"2018-11-03T17:00:00Z","2018-11-03T17:05:00Z",325.16,0.38,
"2018-11-03T17:05:00Z","2018-11-03T17:10:00Z",325.16,0.38,
"2018-11-03T17:10:00Z","2018-11-03T17:15:00Z",325.16,0.38,
"2018-11-03T17:15:00Z","2018-11-03T17:20:00Z",325.16,0.38,
"2018-11-03T17:20:00Z","2018-11-03T17:25:00Z",325.16,0.38,
"2018-11-03T17:25:00Z","2018-11-03T17:30:00Z",325.16,0.38,
"2018-11-03T17:30:00Z","2018-11-03T17:35:00Z",325.16,0.38,
"2018-11-03T17:40:00Z","2018-11-03T17:45:00Z",325.16,0.38,
"2018-11-03T17:45:00Z","2018-11-03T17:50:00Z",325.16,0.38,
"2018-11-03T17:50:00Z","2018-11-03T17:55:00Z",325.16,0.38,
"2018-11-03T17:55:00Z","2018-11-03T18:00:00Z",325.16,0.38,
"2018-11-03T18:00:00Z","2018-11-03T18:05:00Z",325.16,0.38,
"2018-11-03T18:05:00Z","2018-11-03T18:10:00Z",325.16,0.38,
"2018-11-03T18:10:00Z","2018-11-03T18:15:00Z",325.16,0.38,
"2018-11-03T18:15:00Z","2018-11-03T18:20:00Z",325.16,0.38,
"2018-11-03T18:20:00Z","2018-11-03T18:25:00Z",325.16,0.38,
"2018-11-03T18:25:00Z","2018-11-03T18:30:00Z",325.16,0.38,
"2018-11-03T18:35:00Z","2018-11-03T18:40:00Z",325.16,0.38,
"2018-11-03T18:40:00Z","2018-11-03T18:45:00Z",325.16,0.38,
"2018-11-03T18:50:00Z","2018-11-03T18:55:00Z",325.16,0.38,
"2018-11-03T18:55:00Z","2018-11-03T19:00:00Z",325.16,0.38,
"2018-11-03T19:00:00Z","2018-11-03T19:05:00Z",325.16,0.38,
"2018-11-03T19:05:00Z","2018-11-03T19:10:00Z",325.16,0.38,
"2018-11-03T19:10:00Z","2018-11-03T19:15:00Z",325.16,0.38,
"2018-11-03T19:15:00Z","2018-11-03T19:20:00Z",325.16,0.38,
"2018-11-03T19:20:00Z","2018-11-03T19:25:00Z",325.16,0.38,
"2018-11-03T19:25:00Z","2018-11-03T19:30:00Z",325.16,0.38,
"2018-11-03T19:30:00Z","2018-11-03T19:35:00Z",325.16,0.38,
"2018-11-03T19:35:00Z","2018-11-03T19:40:00Z",325.16,0.38,
"2018-11-03T19:40:00Z","2018-11-03T19:45:00Z",325.16,0.38,
"2018-11-03T19:45:00Z","2018-11-03T19:50:00Z",325.16,0.38,
"2018-11-03T19:50:00Z","2018-11-03T19:55:00Z",325.16,0.38,
"2018-11-03T19:55:00Z","2018-11-03T20:00:00Z",325.16,0.38,
"2018-11-03T20:20:00Z","2018-11-03T20:25:00Z",325.16,0.38,
"2018-11-03T20:25:00Z","2018-11-03T20:30:00Z",325.16,0.38,
"2018-11-03T20:30:00Z","2018-11-03T20:35:00Z",325.16,0.38,
"2018-11-03T20:35:00Z","2018-11-03T20:40:00Z",325.16,0.38,
"2018-11-03T20:40:00Z","2018-11-03T20:45:00Z",325.16,0.38,
"2018-11-03T20:45:00Z","2018-11-03T20:50:00Z",325.16,0.38,
"2018-11-03T20:50:00Z","2018-11-03T20:55:00Z",325.16,0.38,
"2018-11-03T21:05:00Z","2018-11-03T21:10:00Z",325.16,0.38,
"2018-11-03T21:10:00Z","2018-11-03T21:15:00Z",325.16,0.38,
"2018-11-03T21:15:00Z","2018-11-03T21:20:00Z",325.16,0.38,
"2018-11-03T21:20:00Z","2018-11-03T21:25:00Z",325.16,0.38,
"2018-11-03T21:25:00Z","2018-11-03T21:30:00Z",325.16,0.38,
"2018-11-03T21:30:00Z","2018-11-03T21:35:00Z",325.16,0.38,
"2018-11-03T21:35:00Z","2018-11-03T21:40:00Z",325.16,0.38,
"2018-11-03T21:40:00Z","2018-11-03T21:45:00Z",325.16,0.38,
"2018-11-03T21:45:00Z","2018-11-03T21:50:00Z",325.16,0.38,
"2018-11-03T21:50:00Z","2018-11-03T21:55:00Z",325.16,0.38,
"2018-11-03T21:55:00Z","2018-11-03T22:00:00Z",325.16,0.38,
"2018-11-03T22:00:00Z","2018-11-03T22:05:00Z",325.16,0.38,
"2018-11-03T22:05:00Z","2018-11-03T22:10:00Z",325.16,0.38,
"2018-11-03T22:10:00Z","2018-11-03T22:15:00Z",325.16,0.38,
"2018-11-03T22:15:00Z","2018-11-03T22:20:00Z",325.16,0.38,
"2018-11-03T22:20:00Z","2018-11-03T22:25:00Z",325.16,0.38,
"2018-11-03T22:30:00Z","2018-11-03T22:35:00Z",325.16,0.38,
"2018-11-03T22:35:00Z","2018-11-03T22:40:00Z",325.16,0.38,
"2018-11-03T22:40:00Z","2018-11-03T22:45:00Z",325.16,0.38,
"2018-11-03T22:45:00Z","2018-11-03T22:50:00Z",325.16,0.38,
"2018-11-04T14:45:00Z","2018-11-04T14:50:00Z",325.18,0.38,
"2018-11-04T14:50:00Z","2018-11-04T14:55:00Z",325.18,0.38,
"2018-11-04T14:55:00Z","2018-11-04T15:00:00Z",325.18,0.38,
"2018-11-04T15:00:00Z","2018-11-04T15:05:00Z",325.18,0.38,
"2018-11-04T15:05:00Z","2018-11-04T15:10:00Z",325.18,0.38,
"2018-11-04T15:10:00Z","2018-11-04T15:15:00Z",325.18,0.38,
"2018-11-04T15:15:00Z","2018-11-04T15:20:00Z",325.18,0.38,
"2018-11-04T15:20:00Z","2018-11-04T15:25:00Z",325.18,0.38,
"2018-11-04T15:25:00Z","2018-11-04T15:30:00Z",325.18,0.38,
"2018-11-04T15:30:00Z","2018-11-04T15:35:00Z",325.18,0.38,
"2018-11-04T15:35:00Z","2018-11-04T15:40:00Z",325.18,0.38,
"2018-11-04T15:40:00Z","2018-11-04T15:45:00Z",325.18,0.38,
"2018-11-04T15:45:00Z","2018-11-04T15:50:00Z",325.18,0.38,
"2018-11-04T15:50:00Z","2018-11-04T15:55:00Z",325.18,0.38,
"2018-11-04T15:55:00Z","2018-11-04T16:00:00Z",325.18,0.38,
"2018-11-04T16:00:00Z","2018-11-04T16:05:00Z",325.18,0.38,
"2018-11-04T16:05:00Z","2018-11-04T16:10:00Z",325.18,0.38,
"2018-11-04T16:10:00Z","2018-11-04T16:15:00Z",325.18,0.38,
"2018-11-04T16:15:00Z","2018-11-04T16:20:00Z",325.18,0.38,
"2018-11-04T16:20:00Z","2018-11-04T16:25:00Z",325.18,0.38,
"2018-11-04T16:25:00Z","2018-11-04T16:30:00Z",325.18,0.38,
"2018-11-04T16:30:00Z","2018-11-04T16:35:00Z",325.18,0.38,
"2018-11-04T16:35:00Z","2018-11-04T16:40:00Z",325.18,0.38,
"2018-11-04T16:40:00Z","2018-11-04T16:45:00Z",325.18,0.38,
"2018-11-04T16:45:00Z","2018-11-04T16:50:00Z",325.18,0.38,
"2018-11-04T16:50:00Z","2018-11-04T16:55:00Z",325.18,0.38,
"2018-11-04T16:55:00Z","2018-11-04T17:00:00Z",325.18,0.38,
"2018-11-04T17:00:00Z","2018-11-04T17:05:00Z",325.18,0.38,
"2018-11-04T17:05:00Z","2018-11-04T17:10:00Z",325.18,0.38,
"2018-11-04T17:10:00Z","2018-11-04T17:15:00Z",325.18,0.38,
"2018-11-04T17:15:00Z","2018-11-04T17:20:00Z",325.18,0.38,
"2018-11-04T17:20:00Z","2018-11-04T17:25:00Z",325.18,0.38,
"2018-11-04T17:25:00Z","2018-11-04T17:30:00Z",325.18,0.38,
"2018-11-04T17:30:00Z","2018-11-04T17:35:00Z",325.18,0.38,
"2018-11-04T17:35:00Z","2018-11-04T17:40:00Z",325.18,0.38,
"2018-11-04T17:40:00Z","2018-11-04T17:45:00Z",325.18,0.38,
"2018-11-04T17:45:00Z","2018-11-04T17:50:00Z",325.18,0.38,
"2018-11-04T17:50:00Z","2018-11-04T17:55:00Z",325.18,0.38,
"2018-11-04T17:55:00Z","2018-11-04T18:00:00Z",325.18,0.38,
"2018-11-04T18:00:00Z","2018-11-04T18:05:00Z",325.18,0.38,
"2018-11-04T18:05:00Z","2018-11-04T18:10:00Z",325.18,0.38,
"2018-11-04T18:10:00Z","2018-11-04T18:15:00Z",325.18,0.38,
"2018-11-04T18:15:00Z","2018-11-04T18:20:00Z",325.18,0.38,
"2018-11-04T18:20:00Z","2018-11-04T18:25:00Z",325.18,0.38,
"2018-11-04T18:25:00Z","2018-11-04T18:30:00Z",325.18,0.38,
"2018-11-04T18:30:00Z","2018-11-04T18:35:00Z",325.18,0.38,
"2018-11-04T18:35:00Z","2018-11-04T18:40:00Z",325.18,0.38,
"2018-11-04T18:40:00Z","2018-11-04T18:45:00Z",325.18,0.38,
