Month,MPrecip,SE,APrecip
Oct '16,68.36785714,8.116944608,62.5
Nov' 16,38.02222222,5.148574149,8.9
Dec '16,25.27857143,4.074106378,25
Jan '17,16.82307692,1.809277864,33.1
Feb '17,27.70714286,4.570905021,14.8
Mar '17,53.51428571,6.329526246,115.6
Apr '17,78.175,9.195925347,94.6
May '17,103.25,14.12085262,85
Jun '17,135.4964286,13.58909994,76.8
Jul '17,107.775,16.09293662,33.9
Aug '17,112.6857143,10.99865638,159
Sep '17,73.91071429,7.907944802,17.7
Oct '17,68.36785714,8.116944608,84.6
Nov '17,38.02222222,5.148574149,3.6
Dec '17,25.27857143,4.074106378,4.8
Jan '18,16.82307692,1.809277864,16.3
Feb '18,27.70714286,4.570905021,17.1
Mar '18,53.51428571,6.329526246,17.1
Apr '18,78.175,9.195925347,41.3
May '18,103.25,14.12085262,80.4
Jun '18,135.4964286,13.58909994,37.9
Jul '18,107.775,16.09293662,86.6
Aug '18,112.6857143,10.99865638,189.738
Sep '18,73.91071429,7.907944802,176.022